# Meuse (Maas) catchment
6.342 50.392 6011000
6.342 50.383 6011000
6.333 50.383 6011000
6.333 50.392 6011000
6.317 50.392 6011000
6.317 50.383 6011000
6.308 50.383 6011000
6.308 50.375 6011000
6.267 50.375 6011000
6.267 50.358 6011000
6.250 50.358 6011000
6.250 50.333 6011000
6.225 50.333 6011000
6.225 50.325 6011000
6.200 50.325 6011000
6.200 50.317 6011000
6.175 50.317 6011000
6.175 50.308 6011000
6.158 50.308 6011000
6.158 50.300 6011000
6.058 50.300 6011000
6.058 50.292 6011000
6.042 50.292 6011000
6.042 50.283 6011000
6.008 50.283 6011000
6.008 50.258 6011000
6.025 50.258 6011000
6.025 50.225 6011000
6.008 50.225 6011000
6.008 50.208 6011000
6.017 50.208 6011000
6.017 50.175 6011000
5.992 50.175 6011000
5.992 50.167 6011000
5.975 50.167 6011000
5.975 50.158 6011000
5.950 50.158 6011000
5.950 50.150 6011000
5.925 50.150 6011000
5.925 50.142 6011000
5.917 50.142 6011000
5.917 50.133 6011000
5.900 50.133 6011000
5.900 50.100 6011000
5.892 50.100 6011000
5.892 50.092 6011000
5.883 50.092 6011000
5.883 50.083 6011000
5.875 50.083 6011000
5.875 50.075 6011000
5.850 50.075 6011000
5.850 50.067 6011000
5.833 50.067 6011000
5.833 50.058 6011000
5.817 50.058 6011000
5.817 50.050 6011000
5.792 50.050 6011000
5.792 50.042 6011000
5.775 50.042 6011000
5.775 50.033 6011000
5.742 50.033 6011000
5.742 50.025 6011000
5.725 50.025 6011000
5.725 50.017 6011000
5.708 50.017 6011000
5.708 50.008 6011000
5.692 50.008 6011000
5.692 50.000 6011000
5.683 50.000 6011000
5.683 49.992 6011000
5.667 49.992 6011000
5.667 49.983 6011000
5.658 49.983 6011000
5.658 49.975 6011000
5.650 49.975 6011000
5.650 49.967 6011000
5.642 49.967 6011000
5.642 49.958 6011000
5.600 49.958 6011000
5.600 49.950 6011000
5.592 49.950 6011000
5.592 49.942 6011000
5.525 49.942 6011000
5.525 49.933 6011000
5.517 49.933 6011000
5.517 49.925 6011000
5.508 49.925 6011000
5.508 49.908 6011000
5.517 49.908 6011000
5.517 49.875 6011000
5.508 49.875 6011000
5.508 49.867 6011000
5.500 49.867 6011000
5.500 49.858 6011000
5.508 49.858 6011000
5.508 49.850 6011000
5.525 49.850 6011000
5.525 49.842 6011000
5.542 49.842 6011000
5.542 49.850 6011000
5.550 49.850 6011000
5.550 49.842 6011000
5.583 49.842 6011000
5.583 49.833 6011000
5.592 49.833 6011000
5.592 49.817 6011000
5.600 49.817 6011000
5.600 49.825 6011000
5.625 49.825 6011000
5.625 49.817 6011000
5.642 49.817 6011000
5.642 49.808 6011000
5.725 49.808 6011000
5.725 49.783 6011000
5.717 49.783 6011000
5.717 49.775 6011000
5.725 49.775 6011000
5.725 49.742 6011000
5.708 49.742 6011000
5.708 49.733 6011000
5.683 49.733 6011000
5.683 49.725 6011000
5.692 49.725 6011000
5.692 49.717 6011000
5.708 49.717 6011000
5.708 49.708 6011000
5.808 49.708 6011000
5.808 49.700 6011000
5.817 49.700 6011000
5.817 49.658 6011000
5.825 49.658 6011000
